invoice_no,category,quantity,price,shopping_mall,invoice_date
100933,Home Decor,1,65.33,The Summit,2024-04-24
100934,Footwear,4,230.61,The Domain,2021-02-27
100935,Books,4,250.27,The Mall in Columbia,2021-03-14
100936,Groceries,3,176.55,Bullring & Grand Central,2021-05-21
100937,Footwear,1,284.35,Tysons Corner Center,2024-03-22
100938,Accessories,2,281.11,Trafford Centre,2020-08-23
100939,Beauty Products,1,37.41,Cherry Creek Shopping Center,2024-10-09
100940,Jewelry,4,36.6,The Dubai Mall,2023-04-28
100941,Clothing,4,431.81,Town Center at Boca Raton,2022-11-15
100942,Jewelry,3,87.03,Santa Monica Place,2022-03-17
100943,Clothing,3,10.04,Westfield San Francisco Centre,2022-05-05
100944,Accessories,1,492.17,The Mall at Millenia,2024-02-01
100945,Toys,2,225.31,Yorkdale Shopping Centre,2023-10-03
100946,Groceries,4,497.38,Cherry Creek Shopping Center,2022-11-29
100947,Footwear,4,26.89,The Galleria at Fort Lauderdale,2023-09-27
100948,Accessories,2,117.84,Roosevelt Field,2024-01-30
100949,Accessories,2,270.91,CambridgeSide,2025-02-07
100950,Clothing,1,25.51,Park Meadows,2024-03-25
100951,Groceries,2,443.55,The Shops at La Cantera,2020-09-28
100952,Beauty Products,2,262.41,Perimeter Mall,2024-02-11
100953,Toys,4,432.0,Westfield San Francisco Centre,2020-11-27
100954,Jewelry,3,114.38,Bellevue Square,2020-05-02
100955,Electronics,4,214.67,CambridgeSide,2021-09-01
100956,Electronics,4,38.62,Yorkdale Shopping Centre,2021-01-25
100957,Beauty Products,3,341.85,Aventura Mall,2024-01-28
100958,Footwear,3,42.74,NorthPark Center,2022-12-19
100959,Footwear,1,177.35,SouthPark,2022-10-07
100960,Footwear,1,184.89,Stonebriar Centre,2024-05-18
100961,Accessories,4,399.12,Bluewater Shopping Centre,2021-04-01
100962,Footwear,1,386.92,Aventura Mall,2024-02-17
100963,Groceries,2,187.39,Bellevue Square,2022-09-06
100964,Books,3,24.72,The Trafford Centre,2022-09-13
100965,Groceries,2,333.44,Bloor-Yorkville,2025-02-12
100966,Toys,2,437.52,Meadowhall,2022-11-07
100967,Jewelry,1,166.84,The Summit,2022-04-01
100968,Books,1,7.69,The Streets at Southpoint,2024-07-14
100969,Electronics,4,229.04,The Americana at Brand,2021-03-12
100970,Home Decor,4,233.14,Palisades Center,2021-09-10
100971,Books,1,494.47,Bellevue Square,2022-01-18
100972,Accessories,4,264.87,Santa Monica Place,2020-04-19
100973,Beauty Products,1,481.82,Metrocentre,2022-01-05
100974,Electronics,3,96.13,The Domain,2020-02-17
100975,Groceries,4,452.46,Palisades Center,2021-09-26
100976,Toys,3,363.93,Easton Town Center,2022-11-05
100977,Beauty Products,3,68.91,West Edmonton Mall,2023-12-03
100978,Home Decor,1,488.95,Scottsdale Fashion Square,2022-10-30
100979,Electronics,3,73.2,The Summit,2022-07-02
100980,Toys,2,222.21,Perimeter Mall,2020-05-27
100981,Groceries,3,72.58,Bayshore Shopping Centre,2021-09-10
100982,Clothing,1,497.24,Roosevelt Field,2020-09-07
100983,Books,4,338.44,International Plaza and Bay Street,2023-04-07
100984,Toys,2,400.62,Westfield Century City,2024-10-06
100985,Beauty Products,1,21.62,Aventura Mall,2024-12-09
100986,Footwear,2,81.56,The Shops at Columbus Circle,2022-12-11
100987,Beauty Products,1,424.83,Bloor-Yorkville,2024-02-22
100988,Footwear,4,430.64,Westfield San Francisco Centre,2020-03-04
100989,Jewelry,4,149.4,Pheasant Lane Mall,2024-12-21
100990,Footwear,3,441.75,The Gardens Mall,2022-02-03
100991,Jewelry,4,489.95,The Americana at Brand,2022-11-28
100992,Jewelry,1,151.38,King of Prussia Mall,2023-08-10
100993,Accessories,2,123.03,NorthPark Center,2024-09-05
100994,Toys,2,394.45,Westfield Century City,2024-03-08
100995,Electronics,4,202.22,The Mall at Millenia,2024-03-09
100996,Jewelry,2,151.27,King of Prussia Mall,2020-12-18
100997,Clothing,1,121.41,Meadowhall,2020-10-05
100998,Toys,2,99.63,Bellevue Square,2024-04-12
100999,Footwear,3,460.05,West Edmonton Mall,2022-09-15
101000,Accessories,1,300.3,The Shops at Columbus Circle,2020-09-10
101001,Groceries,2,258.26,The Grove,2022-08-31
101002,Toys,4,76.8,Dolphin Mall,2023-08-21
101003,Footwear,4,260.64,Westfield London,2021-02-24
101004,Clothing,4,252.49,Park Meadows,2023-11-16
101005,Clothing,1,469.08,Town Center at Boca Raton,2020-09-06
101006,Home Decor,3,60.35,Perimeter Mall,2022-08-29
101007,Toys,2,491.11,Lenox Square,2024-01-13
101008,Beauty Products,1,131.77,Cherry Creek Shopping Center,2021-12-25
101009,Footwear,1,309.03,The Shops at La Cantera,2020-08-01
101010,Toys,4,37.48,Bayshore Shopping Centre,2024-09-04
101011,Beauty Products,3,429.89,NorthPark Center,2021-10-12
101012,Toys,2,210.02,Westfield San Francisco Centre,2020-04-24
101013,Clothing,4,472.31,Cherry Creek Shopping Center,2022-12-14
101014,Toys,2,271.45,The Shops at La Cantera,2024-08-04
101015,Jewelry,4,177.21,Westfield Century City,2025-01-15
101016,Home Decor,1,464.95,The Galleria,2024-02-23
101017,Footwear,3,140.99,Dolphin Mall,2020-09-08
101018,Home Decor,1,273.78,The Shops at La Cantera,2020-09-15
101019,Home Decor,2,12.25,The Domain,2023-03-15
101020,Beauty Products,3,471.68,Lenox Square,2021-03-20
101021,Toys,1,390.46,Stonebriar Centre,2021-05-28
101022,Beauty Products,1,237.8,The Shops at La Cantera,2022-08-29
101023,Clothing,2,45.03,Westfield London,2021-03-08
101024,Jewelry,1,274.15,The Oracle,2021-03-27
101025,Jewelry,4,213.41,Westfield San Francisco Centre,2024-12-21
101026,Electronics,4,280.23,Bayshore Shopping Centre,2023-02-06
101027,Footwear,3,306.74,The Americana at Brand,2024-03-29
101028,Groceries,2,53.97,Park Meadows,2020-08-05
101029,Jewelry,1,402.37,Palisades Center,2022-09-26
101030,Footwear,4,400.02,The Streets at Southpoint,2021-05-05
101031,Home Decor,4,238.93,SouthPark,2020-09-04
101032,Books,3,266.35,Stanford Shopping Center,2020-02-17
101033,Groceries,1,18.54,Yorkdale Shopping Centre,2020-06-17
101034,Jewelry,1,376.49,The Gardens Mall,2021-07-12
101035,Electronics,2,115.66,West Edmonton Mall,2024-12-13
101036,Toys,3,343.05,The Dubai Mall,2020-04-26
101037,Accessories,4,162.27,Perimeter Mall,2022-09-24
101038,Accessories,1,103.01,Fashion Show Mall,2021-06-22
101039,Groceries,2,189.49,CambridgeSide,2020-08-05
101040,Beauty Products,2,216.47,Trafford Centre,2021-03-21
101041,Home Decor,3,303.25,Trafford Centre,2021-12-13
101042,Electronics,4,402.31,Bayshore Shopping Centre,2024-08-15
101043,Jewelry,1,30.06,The Shops at La Cantera,2020-07-11
101044,Beauty Products,1,211.84,Fashion Show Mall,2024-05-08
101045,Books,4,262.15,Palisades Center,2020-03-18
101046,Beauty Products,1,207.4,Aventura Mall,2020-03-05
101047,Electronics,2,378.09,Pheasant Lane Mall,2024-02-28
101048,Footwear,3,299.67,The Domain,2020-09-13
101049,Accessories,2,309.09,Meadowhall,2022-04-02
101050,Accessories,4,281.96,The Galleria,2020-09-19
101051,Groceries,2,391.88,The Dubai Mall,2023-09-15
101052,Electronics,2,202.75,Trafford Centre,2021-10-10
101053,Footwear,2,53.17,Bluewater Shopping Centre,2021-05-12
101054,Jewelry,2,44.83,Arndale Centre,2023-08-28
101055,Accessories,4,322.24,The Shops at La Cantera,2023-10-15
101056,Jewelry,1,16.58,The Gardens Mall,2023-11-13
101057,Home Decor,4,226.49,Pheasant Lane Mall,2021-06-05
101058,Clothing,3,374.08,Westfield San Francisco Centre,2020-01-16
101059,Electronics,2,58.63,Trafford Centre,2021-08-04
101060,Jewelry,4,13.49,Bloor-Yorkville,2020-03-04
101061,Books,3,412.83,The Gardens Mall,2020-04-28
101062,Books,4,179.44,Tysons Corner Center,2024-06-03
101063,Books,2,362.09,The Shops at Columbus Circle,2021-10-22
101064,Electronics,2,258.01,Tysons Corner Center,2020-12-04
101065,Accessories,3,233.32,Cherry Creek Shopping Center,2022-04-29
101066,Home Decor,2,249.97,The Dubai Mall,2023-12-21
101067,Groceries,4,27.76,The Mall in Columbia,2020-11-15
101068,Groceries,3,74.05,Bayshore Shopping Centre,2022-11-29
101069,Jewelry,2,113.64,The Gardens Mall,2022-08-11
101070,Footwear,1,346.49,The Mall in Columbia,2020-04-03
101071,Books,3,206.65,Bayshore Shopping Centre,2025-01-18
101072,Beauty Products,2,479.89,The Americana at Brand,2022-09-04
101073,Electronics,2,83.38,The Mall in Columbia,2021-11-09
101074,Beauty Products,4,260.24,Park Meadows,2021-02-07
101075,Footwear,3,161.91,Easton Town Center,2021-04-27
101076,Accessories,4,80.85,The Florida Mall,2024-10-01
101077,Accessories,2,21.21,Metrocentre,2021-12-03
101078,Clothing,1,353.4,The Mall at Millenia,2024-07-31
101079,Groceries,3,295.76,Town Center at Boca Raton,2022-01-29
101080,Clothing,1,424.25,Tysons Corner Center,2020-11-30
101081,Home Decor,1,97.05,Tysons Corner Center,2024-12-31
101082,Toys,4,158.75,Westfield Century City,2022-04-25
101083,Beauty Products,4,51.26,The Mall at Millenia,2021-07-24
101084,Jewelry,3,111.33,Bayshore Shopping Centre,2022-03-01
101085,Footwear,2,470.23,The Summit,2024-06-16
101086,Beauty Products,3,250.96,Stanford Shopping Center,2023-01-24
101087,Groceries,4,408.07,Yorkdale Shopping Centre,2020-08-31
101088,Home Decor,3,251.87,The Summit,2025-02-05
101089,Electronics,1,194.52,Tysons Corner Center,2024-03-08
101090,Footwear,1,393.8,Stonebriar Centre,2023-07-06
101091,Beauty Products,2,400.04,The Summit,2024-02-02
101092,Home Decor,2,282.67,West Edmonton Mall,2022-08-09
101093,Accessories,3,79.47,The Oracle,2024-05-19
101094,Beauty Products,2,279.68,The Galleria at Fort Lauderdale,2020-04-03
101095,Books,1,116.58,The Mall at Short Hills,2022-01-13
101096,Jewelry,3,218.09,Bayshore Shopping Centre,2024-09-21
101097,Footwear,1,155.47,Tysons Corner Center,2022-08-28
101098,Books,2,282.13,Palisades Center,2024-05-23
101099,Beauty Products,2,435.16,Cherry Creek Shopping Center,2020-10-08
101100,Electronics,3,25.54,Lenox Square,2021-01-08
101101,Toys,4,26.42,The Galleria at Fort Lauderdale,2023-11-23
101102,Home Decor,1,51.33,Arndale Centre,2023-05-20
101103,Home Decor,1,440.36,Roosevelt Field,2023-10-17
101104,Accessories,2,462.59,Tysons Corner Center,2024-10-06
101105,Clothing,1,162.0,Park Meadows,2021-04-14
101106,Clothing,2,283.7,Lenox Square,2021-02-24
101107,Home Decor,4,467.91,Palisades Center,2020-02-24
101108,Books,1,319.51,Westfield San Francisco Centre,2024-11-10
101109,Toys,4,29.95,Cherry Creek Shopping Center,2024-07-05
101110,Accessories,4,133.1,Scottsdale Fashion Square,2020-04-25
101111,Beauty Products,3,186.14,Cherry Creek Shopping Center,2021-07-11
101112,Electronics,2,409.51,Town Center at Boca Raton,2022-03-31
101113,Clothing,4,85.58,The Americana at Brand,2020-04-30
101114,Accessories,1,133.52,Lakeside Shopping Centre,2023-11-15
101115,Toys,4,98.97,Bayshore Shopping Centre,2024-06-27
101116,Accessories,4,159.71,Mall of America,2024-03-07
101117,Footwear,1,229.14,Lenox Square,2020-04-23
101118,Footwear,2,16.84,Dolphin Mall,2024-08-01
101119,Home Decor,1,145.61,Mall of America,2022-02-12
101120,Electronics,4,301.17,Pheasant Lane Mall,2022-02-13
101121,Electronics,4,398.87,West Edmonton Mall,2020-02-04
101122,Beauty Products,2,142.77,Scottsdale Fashion Square,2021-06-04
101123,Footwear,1,121.61,Bluewater Shopping Centre,2021-08-16
101124,Books,1,24.43,Westfield San Francisco Centre,2023-06-27
101125,Groceries,3,244.91,Brookfield Place,2025-02-07
101126,Beauty Products,2,193.6,Westfield Century City,2023-09-19
101127,Home Decor,3,338.15,CambridgeSide,2021-12-07
101128,Electronics,4,120.49,The Shops at La Cantera,2021-08-18
101129,Home Decor,4,15.16,West Edmonton Mall,2022-03-31
101130,Clothing,3,392.88,Bellevue Square,2023-10-24
101131,Jewelry,1,121.28,The Dubai Mall,2023-10-18
101132,Home Decor,3,33.64,The Americana at Brand,2023-07-06
101133,Jewelry,4,146.26,The Galleria at Fort Lauderdale,2020-11-19
101134,Groceries,2,390.17,The Streets at Southpoint,2021-10-27
101135,Home Decor,1,44.35,The Florida Mall,2023-10-15
101136,Electronics,4,491.3,Park Meadows,2023-06-03
101137,Toys,4,5.53,The Mall at Millenia,2023-09-30
101138,Beauty Products,3,151.97,Yorkdale Shopping Centre,2020-10-20
101139,Home Decor,2,122.03,International Plaza and Bay Street,2023-08-08
101140,Accessories,2,444.31,The Streets at Southpoint,2024-10-31
101141,Home Decor,4,425.8,Dolphin Mall,2024-11-07
101142,Clothing,3,42.83,Trafford Centre,2023-07-08
101143,Home Decor,3,180.61,CambridgeSide,2022-03-01
101144,Beauty Products,3,290.61,Lakeside Shopping Centre,2021-10-12
101145,Clothing,3,355.61,CambridgeSide,2020-10-31
101146,Books,3,289.33,Bullring & Grand Central,2022-04-02
101147,Beauty Products,4,319.37,International Plaza and Bay Street,2021-02-04
101148,Jewelry,4,214.65,International Plaza and Bay Street,2021-03-07
101149,Books,3,156.89,SouthPark,2023-05-15
101150,Groceries,3,64.16,Roosevelt Field,2024-12-06
101151,Toys,2,82.56,SouthPark,2021-02-27
101152,Toys,1,194.67,Park Meadows,2025-01-28
101153,Electronics,2,161.55,The Shops at Columbus Circle,2020-04-07
101154,Footwear,1,272.44,Brookfield Place,2023-08-24
101155,Beauty Products,2,434.56,Bayshore Shopping Centre,2024-10-20
101156,Home Decor,1,455.52,Fashion Show Mall,2022-06-28
101157,Groceries,4,53.46,Trafford Centre,2022-02-02
101158,Books,4,385.63,Tysons Corner Center,2022-12-21
101159,Groceries,1,174.01,The Gardens Mall,2022-07-14
101160,Books,3,187.08,Scottsdale Fashion Square,2022-08-03
101161,Footwear,2,206.99,International Plaza and Bay Street,2024-12-24
101162,Clothing,1,266.88,The Galleria,2022-08-16
101163,Groceries,1,11.1,The Shops at La Cantera,2020-08-08
101164,Beauty Products,2,14.74,Fashion Show Mall,2024-05-25
101165,Groceries,4,6.21,Pheasant Lane Mall,2024-03-19
101166,Footwear,2,49.25,Perimeter Mall,2022-05-26
101167,Footwear,1,84.81,Bloor-Yorkville,2020-05-31
101168,Beauty Products,3,199.05,The Gardens Mall,2023-07-18
101169,Jewelry,1,460.32,Bayshore Shopping Centre,2021-05-25
101170,Accessories,4,44.63,Trafford Centre,2022-08-30
101171,Toys,1,291.39,Stanford Shopping Center,2023-02-08
101172,Toys,3,217.43,Perimeter Mall,2022-01-20
101173,Toys,1,25.43,Lakeside Shopping Centre,2020-03-12
101174,Footwear,2,13.79,NorthPark Center,2022-10-09
101175,Clothing,1,414.67,Bellevue Square,2022-09-22
101176,Home Decor,2,426.16,CambridgeSide,2024-11-28
101177,Groceries,3,149.92,Perimeter Mall,2024-04-30
101178,Beauty Products,2,485.84,Oakbrook Center,2021-03-26
101179,Accessories,3,424.6,Town Center at Boca Raton,2020-05-13
101180,Groceries,3,106.14,Arndale Centre,2022-03-15
101181,Accessories,2,404.49,Roosevelt Field,2020-03-13
101182,Accessories,1,414.36,Mall of America,2023-05-06
101183,Groceries,3,199.32,CambridgeSide,2022-02-01
101184,Groceries,1,39.83,The Grove,2021-09-14
101185,Clothing,3,251.79,Meadowhall,2020-12-03
101186,Clothing,3,354.07,The Shops at Columbus Circle,2021-09-01
101187,Home Decor,4,485.53,Bullring & Grand Central,2020-12-01
101188,Clothing,1,340.21,The Oracle,2022-06-23
101189,Books,3,81.17,The Oracle,2020-01-28
101190,Home Decor,4,357.2,Pheasant Lane Mall,2022-09-27
101191,Books,2,339.66,The Gardens Mall,2021-10-25
101192,Home Decor,4,142.21,The Summit,2025-01-28
101193,Clothing,1,180.4,Westfield Annapolis,2023-08-28
101194,Toys,3,24.58,Stonebriar Centre,2021-08-27
101195,Books,2,74.99,Bellevue Square,2025-01-25
101196,Home Decor,4,489.06,Bluewater Shopping Centre,2021-11-21
101197,Groceries,4,127.72,Stanford Shopping Center,2020-07-07
101198,Books,2,137.22,Trafford Centre,2022-12-11
101199,Books,3,126.59,Perimeter Mall,2021-10-25
101200,Footwear,1,455.54,South Coast Plaza,2022-11-03
101201,Groceries,4,153.44,Bluewater Shopping Centre,2023-08-15
101202,Toys,2,56.63,Park Meadows,2020-01-29
101203,Beauty Products,2,158.5,Westfield Stratford City,2023-09-09
101204,Books,1,305.45,CambridgeSide,2024-11-28
101205,Electronics,3,458.54,Meadowhall,2023-11-10
101206,Accessories,3,141.38,Dolphin Mall,2024-08-20
101207,Beauty Products,2,397.45,Trafford Centre,2021-04-27
101208,Home Decor,1,383.53,Pheasant Lane Mall,2021-06-12
101209,Clothing,3,183.3,Santa Monica Place,2022-10-30
101210,Beauty Products,1,378.83,Bloor-Yorkville,2024-11-14
101211,Accessories,1,29.53,Brookfield Place,2022-03-12
101212,Clothing,1,452.05,The Galleria at Fort Lauderdale,2021-06-19
101213,Accessories,4,473.42,Bullring & Grand Central,2024-07-07
101214,Footwear,3,26.8,King of Prussia Mall,2020-08-18
101215,Electronics,3,313.38,Westfield Stratford City,2021-11-16
101216,Electronics,1,218.84,The Florida Mall,2020-08-21
101217,Footwear,2,492.88,Pheasant Lane Mall,2021-06-19
101218,Books,3,306.9,Westfield San Francisco Centre,2023-07-10
101219,Groceries,2,94.33,Stonebriar Centre,2020-04-30
101220,Footwear,2,358.26,Bellevue Square,2021-03-03
101221,Beauty Products,1,106.95,The Shops at Columbus Circle,2023-06-23
101222,Books,1,140.68,The Mall at Millenia,2022-06-12
101223,Accessories,1,178.51,Oakbrook Center,2024-03-24
101224,Clothing,4,335.41,Pheasant Lane Mall,2023-11-19
101225,Toys,4,194.35,Lakeside Shopping Centre,2022-06-13
101226,Footwear,2,72.54,SouthPark,2020-07-21
101227,Electronics,2,165.8,The Galleria,2020-11-17
101228,Clothing,2,44.83,Bayshore Shopping Centre,2021-04-23
101229,Jewelry,4,137.59,Pheasant Lane Mall,2022-06-23
101230,Beauty Products,4,485.64,The Shops at La Cantera,2020-08-17
101231,Home Decor,3,76.78,The Galleria at Fort Lauderdale,2020-02-20
101232,Toys,3,293.58,Stanford Shopping Center,2022-05-03
101233,Clothing,2,342.96,The Galleria,2023-08-21
101234,Electronics,2,349.37,Mall of America,2024-02-23
101235,Beauty Products,1,101.44,Bellevue Square,2024-11-03
101236,Jewelry,3,403.49,Aventura Mall,2021-01-04
101237,Books,3,356.31,The Grove,2022-10-30
101238,Groceries,3,253.38,Fashion Show Mall,2022-11-28
101239,Books,3,98.3,The Oracle,2020-11-28
101240,Books,3,183.48,Bayshore Shopping Centre,2021-10-16
101241,Electronics,4,431.15,South Coast Plaza,2020-11-29
101242,Clothing,4,39.28,The Mall at Short Hills,2023-01-18
101243,Footwear,4,156.11,Santa Monica Place,2021-03-23
101244,Books,4,7.31,Westfield San Francisco Centre,2022-04-12
101245,Jewelry,2,225.32,The Shops at La Cantera,2020-06-22
101246,Beauty Products,3,154.09,South Coast Plaza,2022-11-17
101247,Accessories,4,372.58,Trafford Centre,2023-04-07
101248,Clothing,4,355.48,Aventura Mall,2024-02-09
101249,Toys,4,352.11,The Mall at Short Hills,2022-05-16
101250,Groceries,3,416.82,Easton Town Center,2020-07-19
101251,Jewelry,3,428.75,Stanford Shopping Center,2022-10-23
101252,Groceries,4,47.4,Cherry Creek Shopping Center,2023-10-15
101253,Home Decor,4,55.89,The Americana at Brand,2022-06-10
101254,Electronics,4,184.04,Tysons Corner Center,2024-07-24
101255,Home Decor,1,31.32,The Mall at Millenia,2024-01-04
101256,Accessories,1,229.58,South Coast Plaza,2024-07-19
101257,Electronics,2,399.13,The Grove,2024-09-30
101258,Books,2,410.15,The Florida Mall,2024-02-25
101259,Beauty Products,4,118.08,South Coast Plaza,2021-05-16
101260,Beauty Products,2,249.41,Fashion Show Mall,2023-06-21
101261,Toys,2,88.1,Bayshore Shopping Centre,2021-09-19
101262,Accessories,2,137.28,Town Center at Boca Raton,2022-11-25
101263,Toys,2,168.63,Meadowhall,2024-02-14
101264,Home Decor,1,150.57,The Americana at Brand,2022-11-23
101265,Clothing,1,63.32,South Coast Plaza,2021-11-05
101266,Groceries,2,401.56,Lakeside Shopping Centre,2022-02-13
101267,Jewelry,4,292.4,Bellevue Square,2021-11-30
101268,Clothing,2,50.89,The Streets at Southpoint,2021-07-26
101269,Groceries,3,126.16,Roosevelt Field,2024-01-30
101270,Beauty Products,2,255.77,The Trafford Centre,2020-04-02
101271,Jewelry,4,106.45,The Shops at Columbus Circle,2022-02-15
101272,Footwear,3,218.9,The Galleria at Fort Lauderdale,2022-06-10
101273,Toys,2,119.35,The Florida Mall,2022-06-28
101274,Home Decor,2,216.39,Westfield San Francisco Centre,2021-07-27
101275,Beauty Products,1,137.62,The Gardens Mall,2020-03-28
101276,Clothing,3,457.65,Tysons Corner Center,2024-02-05
101277,Footwear,4,169.92,Pheasant Lane Mall,2021-05-03
101278,Books,4,306.09,Bloor-Yorkville,2020-08-02
101279,Electronics,3,27.57,South Coast Plaza,2020-06-26
101280,Toys,1,101.61,The Florida Mall,2024-10-24
101281,Toys,3,95.68,Stanford Shopping Center,2020-07-16
101282,Toys,4,491.8,Cherry Creek Shopping Center,2022-02-04
101283,Beauty Products,2,489.75,Aventura Mall,2021-05-18
101284,Books,2,159.08,The Mall in Columbia,2020-08-12
101285,Beauty Products,3,18.8,The Shops at La Cantera,2022-09-15
101286,Accessories,3,429.2,The Shops at Columbus Circle,2020-02-17
101287,Toys,1,224.05,The Florida Mall,2024-02-14
101288,Footwear,4,457.87,Trafford Centre,2022-08-29
101289,Footwear,2,127.92,Pheasant Lane Mall,2024-03-20
101290,Electronics,1,107.72,Scottsdale Fashion Square,2020-03-14
101291,Groceries,4,374.48,Palisades Center,2024-03-20
101292,Books,3,283.44,The Mall at Short Hills,2024-03-20
101293,Clothing,1,186.67,The Americana at Brand,2022-05-13
101294,Beauty Products,3,401.06,Scottsdale Fashion Square,2020-09-16
101295,Accessories,4,405.56,Arndale Centre,2023-11-22
101296,Groceries,4,233.95,The Domain,2022-01-23
101297,Home Decor,4,446.73,Cherry Creek Shopping Center,2021-07-15
101298,Groceries,4,264.72,CambridgeSide,2021-08-14
101299,Electronics,3,160.73,The Dubai Mall,2024-06-07
101300,Clothing,2,26.51,The Gardens Mall,2020-07-23
101301,Toys,2,294.99,The Trafford Centre,2022-01-29
101302,Jewelry,4,292.65,Brookfield Place,2020-04-21
101303,Accessories,1,23.54,Fashion Show Mall,2023-07-01
101304,Home Decor,3,21.47,The Mall at Short Hills,2025-02-14
101305,Jewelry,3,471.95,Westfield San Francisco Centre,2024-03-27
101306,Accessories,3,246.26,Dolphin Mall,2020-03-10
101307,Home Decor,1,390.98,SouthPark,2024-08-15
101308,Beauty Products,4,260.91,Westfield London,2023-10-19
101309,Toys,1,306.9,SouthPark,2021-11-21
101310,Home Decor,2,184.56,Westfield Annapolis,2023-04-29
101311,Toys,3,183.1,International Plaza and Bay Street,2020-04-01
101312,Jewelry,1,410.64,Easton Town Center,2022-09-04
101313,Beauty Products,3,380.66,Fashion Show Mall,2021-01-25
101314,Groceries,3,110.95,The Trafford Centre,2021-10-29
101315,Groceries,2,102.65,The Domain,2020-09-23
101316,Jewelry,2,358.37,The Galleria at Fort Lauderdale,2022-03-13
101317,Toys,4,387.36,The Florida Mall,2021-07-26
101318,Clothing,3,370.79,Bellevue Square,2020-08-26
101319,Accessories,3,368.13,CambridgeSide,2020-01-12
101320,Clothing,4,245.06,The Shops at La Cantera,2024-02-22
101321,Toys,4,41.31,Bayshore Shopping Centre,2023-04-06
101322,Electronics,3,209.45,Roosevelt Field,2024-05-07
101323,Beauty Products,3,79.68,Mall of America,2021-01-08
101324,Books,2,286.47,Tysons Corner Center,2023-05-30
101325,Footwear,3,159.83,Stonebriar Centre,2021-09-11
101326,Books,4,112.83,Stonebriar Centre,2022-02-23
101327,Groceries,1,200.08,The Shops at Columbus Circle,2024-01-22
101328,Beauty Products,2,240.88,Mall of America,2024-08-06
101329,Clothing,2,338.85,Brookfield Place,2020-06-27
101330,Jewelry,4,233.91,The Grove,2020-05-24
101331,Books,2,21.1,Oakbrook Center,2023-05-04
101332,Books,1,111.21,Westfield Stratford City,2020-07-23
101333,Accessories,4,110.13,The Grove,2021-05-24
101334,Books,1,482.29,West Edmonton Mall,2022-07-21
101335,Clothing,2,435.85,Brookfield Place,2024-08-31
101336,Accessories,1,75.18,Metrocentre,2024-05-03
101337,Groceries,1,487.11,Westfield Stratford City,2024-11-23
101338,Clothing,2,346.53,International Plaza and Bay Street,2021-04-23
101339,Accessories,1,342.99,The Grove,2021-05-30
101340,Footwear,2,5.37,The Galleria at Fort Lauderdale,2021-08-26
101341,Jewelry,4,326.91,CambridgeSide,2023-02-27
101342,Groceries,3,28.28,West Edmonton Mall,2022-11-14
101343,Toys,4,84.47,Pheasant Lane Mall,2023-09-04
101344,Groceries,2,348.99,Scottsdale Fashion Square,2020-08-18
101345,Books,1,100.78,King of Prussia Mall,2023-05-23
101346,Home Decor,4,242.73,The Trafford Centre,2024-07-22
101347,Toys,2,81.63,Oakbrook Center,2024-02-10
101348,Accessories,3,102.77,Bluewater Shopping Centre,2024-01-15
101349,Beauty Products,1,478.39,Bellevue Square,2023-04-06
101350,Home Decor,1,258.25,King of Prussia Mall,2022-06-02
101351,Clothing,1,323.8,Lenox Square,2022-06-21
101352,Books,4,33.49,Westfield San Francisco Centre,2022-08-11
101353,Groceries,4,69.11,Town Center at Boca Raton,2022-09-14
101354,Jewelry,1,200.72,Easton Town Center,2021-02-28
101355,Footwear,2,280.0,Bellevue Square,2020-04-19
101356,Jewelry,2,298.97,Westfield London,2021-07-29
101357,Home Decor,3,197.16,Pheasant Lane Mall,2023-04-12
101358,Accessories,2,186.97,Cherry Creek Shopping Center,2024-10-05
101359,Electronics,2,446.45,NorthPark Center,2020-10-24
101360,Beauty Products,3,220.09,SouthPark,2020-12-19
101361,Footwear,3,177.6,The Mall at Short Hills,2023-09-26
101362,Clothing,2,154.26,Tysons Corner Center,2022-04-27
101363,Electronics,1,105.72,The Shops at Columbus Circle,2024-09-22
101364,Clothing,2,205.29,Cherry Creek Shopping Center,2021-06-24
101365,Books,3,243.96,Arndale Centre,2023-03-11
101366,Electronics,4,145.86,The Galleria,2021-12-27
101367,Books,1,142.65,Lakeside Shopping Centre,2020-11-04
101368,Toys,2,363.45,The Gardens Mall,2023-11-27
101369,Toys,2,190.92,The Shops at Columbus Circle,2022-03-21
101370,Toys,4,195.42,Roosevelt Field,2023-05-20
101371,Electronics,1,248.45,Perimeter Mall,2020-11-15
101372,Electronics,2,169.95,The Oracle,2024-10-08
101373,Books,1,381.9,Yorkdale Shopping Centre,2022-02-16
101374,Footwear,1,435.74,Pheasant Lane Mall,2020-12-23
101375,Accessories,1,151.48,Dolphin Mall,2022-12-24
101376,Electronics,3,269.98,Perimeter Mall,2022-12-22
101377,Footwear,2,470.0,Fashion Show Mall,2024-01-05
101378,Books,3,70.93,The Mall at Short Hills,2022-06-20
101379,Accessories,4,185.97,Tysons Corner Center,2023-05-22
101380,Books,1,30.19,Palisades Center,2020-10-11
101381,Beauty Products,2,307.59,Scottsdale Fashion Square,2020-02-15
101382,Footwear,3,373.77,Brookfield Place,2023-11-24
101383,Books,3,170.34,Santa Monica Place,2025-01-24
101384,Accessories,2,227.57,Lenox Square,2020-11-11
101385,Electronics,4,37.34,Palisades Center,2020-09-27
101386,Books,4,10.8,The Americana at Brand,2023-03-03
